invoice_id,customer_id,invoice_date,amount_paid
1,971,2016-11-26 11:41:55,14.71
2,477,2016-12-20 07:22:52,5.33
3,931,2016-07-04 01:20:00,6.42
4,349,2016-09-18 23:54:51,1.06
5,753,2017-02-17 12:12:25,18.19
6,160,2016-07-15 00:46:41,9.62
7,108,2017-01-09 03:07:51,18.18
8,122,2017-03-28 01:10:21,4.28
9,319,2016-11-28 23:35:08,14.68
10,399,2016-06-03 21:08:58,14.97
11,727,2016-10-30 22:36:04,13.90
12,869,2016-11-05 20:41:54,10.70
13,868,2016-12-08 15:14:04,7.48
14,689,2016-10-21 21:32:04,2.14
15,871,2016-09-28 02:15:25,2.14
16,687,2017-02-08 01:11:54,17.11
17,973,2016-11-22 09:55:02,8.28
18,38,2016-09-04 04:31:01,9.63
19,338,2016-10-01 06:02:19,20.33
20,61,2016-10-11 21:27:23,8.56
21,532,2016-06-28 06:43:49,8.55
22,999,2017-03-23 06:44:22,17.66
23,947,2016-08-16 04:23:08,2.14
24,279,2016-07-10 06:30:22,7.48
25,129,2016-06-20 10:20:31,18.18
26,929,2016-08-12 18:15:21,13.90
27,241,2016-11-13 12:27:04,20.86
28,462,2016-11-05 05:08:16,2.14
29,443,2017-03-02 04:43:07,18.18
30,478,2016-11-17 08:48:09,4.28
31,9,2016-07-16 06:31:04,12.84
32,373,2016-09-07 03:38:19,14.97
33,314,2017-01-12 12:10:47,4.27
34,197,2016-09-19 07:16:53,5.34
35,825,2016-06-06 04:51:58,5.34
36,579,2016-09-13 20:01:18,12.84
37,712,2016-09-28 04:53:31,21.39
38,371,2016-09-03 01:16:59,21.39
39,73,2016-10-18 08:35:12,4.28
40,177,2016-09-23 21:53:46,7.49
41,376,2016-06-04 19:00:34,2.14
42,112,2016-06-07 18:54:27,3.20
43,540,2016-10-24 21:36:44,7.48
44,294,2017-02-19 00:27:49,4.29
45,98,2016-08-14 10:13:18,16.04
46,783,2017-01-15 06:13:43,23.54
47,439,2017-02-27 19:26:51,9.62
48,236,2016-09-14 08:59:42,2.14
49,587,2016-11-17 13:24:18,6.94
