invoice_item_id,inventory_id,discount_id,invoice_id,rental_price,return_date
1,4556,NULL,1,1.99,2016-08-17 00:21:17
2,2241,NULL,1,1.99,2016-12-05 05:35:22
3,6826,NULL,1,1.99,2016-09-25 18:36:20
4,2499,NULL,1,1.99,2017-02-09 12:49:57
5,3982,NULL,1,1.99,2016-11-14 06:41:12
6,3924,NULL,1,1.99,2017-03-27 04:05:51
7,4623,NULL,2,1.99,2017-01-26 06:05:44
8,2219,NULL,2,0.99,2017-02-08 01:35:22
9,4582,NULL,3,1.99,2016-12-04 04:06:12
10,6698,NULL,3,1.99,2017-02-25 12:09:37
11,5375,NULL,3,1.99,NULL
12,774,NULL,3,1.99,2017-02-27 05:17:19
13,8811,NULL,3,1.99,2017-02-21 23:38:04
14,3821,2,4,1.49,2017-02-03 16:36:21
15,7426,NULL,4,2.99,2017-03-19 13:39:25
16,7036,2,4,1.49,2017-02-21 01:46:11
17,7376,NULL,4,0.99,2017-01-22 13:57:20
18,7383,NULL,4,2.99,2017-03-09 06:39:17
19,10119,NULL,4,1.99,2016-12-02 12:25:57
20,10200,NULL,4,1.99,NULL
21,5065,NULL,4,1.99,2017-01-01 01:29:55
22,8319,NULL,4,0.99,2016-11-22 16:29:53
23,5689,NULL,5,1.99,2016-06-28 10:52:33
24,6263,NULL,5,2.99,2016-06-28 08:19:41
25,9742,NULL,5,0.99,2016-08-11 00:06:29
26,8378,NULL,5,0.99,NULL
27,9758,NULL,5,1.99,2017-03-13 04:39:48
28,5208,NULL,5,1.99,2016-09-30 03:23:11
29,9026,NULL,5,0.99,2016-09-30 07:28:40
30,3456,NULL,5,1.99,NULL
31,1072,NULL,6,2.99,2016-10-24 15:58:38
32,9523,NULL,6,1.99,2017-03-28 00:40:30
33,3551,NULL,6,1.99,2016-12-06 04:43:31
34,7728,NULL,6,1.99,2016-12-23 08:33:53
35,2511,NULL,6,1.99,2017-03-19 15:41:44
36,2065,NULL,7,2.99,2016-11-29 15:10:29
37,2279,NULL,7,1.99,2016-09-11 12:33:30
38,6017,NULL,8,0.99,2017-01-30 19:01:19
39,4718,NULL,8,0.99,2017-02-13 21:30:00
40,4265,NULL,8,0.99,2017-03-30 03:59:11
41,1169,NULL,8,1.99,2017-01-03 22:38:31
42,6387,NULL,8,1.99,2016-11-20 14:36:48
43,7681,NULL,8,1.99,2017-03-07 21:25:22
44,9156,NULL,8,1.99,2016-11-22 23:08:13
45,8820,NULL,8,1.99,2016-10-29 19:36:42
46,1232,NULL,8,1.99,2017-01-20 10:04:31
47,10238,NULL,9,1.99,2016-11-03 20:19:47
48,7220,NULL,9,0.99,2016-10-10 00:03:42
49,9086,NULL,9,0.99,2016-09-27 06:00:24
50,3381,4,10,1.00,2017-03-09 19:22:02
51,5220,4,10,1.50,2017-03-07 08:45:57
52,5717,5,10,1.00,2017-03-13 08:49:03
