charge_id,invoice_id,charge_type_id,amount
1,1,1,0.99
2,1,4,0.52
3,2,1,0.99
4,2,4,0.45
5,3,4,0.15
6,4,4,0.15
7,5,4,0.52
8,6,4,0.30
9,7,1,0.99
10,7,2,5.99
11,7,4,0.67
12,8,4,0.30
13,9,4,0.30
14,10,4,0.75
15,11,1,0.99
16,11,1,0.99
17,11,4,0.75
18,12,1,0.99
19,12,1,0.99
20,12,1,0.99
21,12,1,0.99
22,12,4,0.60
23,13,1,0.99
24,13,4,0.52
25,14,1,0.99
26,14,4,0.75
27,15,4,0.15
28,16,4,0.52
29,17,4,0.15
30,18,1,0.99
31,18,4,0.52
32,19,1,0.99
33,19,1,0.99
34,19,4,0.22
35,20,1,0.99
36,20,4,0.37
37,21,1,0.99
38,21,4,0.60
39,22,4,0.37
40,23,4,0.15
41,24,4,0.60
42,25,4,0.15
43,26,4,0.67
44,27,4,0.30
45,28,1,0.99
46,28,1,0.99
47,28,4,0.75
48,29,1,0.99
49,29,4,0.45
50,30,2,5.99
51,30,4,0.30
52,31,1,0.99
53,31,4,0.30
54,32,4,0.15
55,33,1,0.99
56,33,4,0.56
57,34,4,0.22
58,35,2,5.99
59,35,1,0.99
60,35,4,0.45
61,36,1,0.99
62,36,1,0.99
63,36,4,0.67
64,37,4,0.30
65,38,1,0.99
66,38,1,0.99
67,38,4,0.45
68,39,2,5.99
69,39,4,0.75
70,40,1,0.99
71,40,4,0.58
72,41,4,0.39
73,42,1,0.99
74,42,1,0.99
75,42,1,0.99
76,42,4,0.37
77,43,4,0.39
78,44,1,0.99
79,44,4,0.60
80,45,4,0.56
81,46,2,5.99
82,46,4,0.15
83,47,1,0.99
84,47,2,5.99
85,47,4,0.41
86,48,1,0.99
87,48,4,0.52
88,49,1,0.99
89,49,4,0.52
90,50,1,0.99
91,50,1,0.99
92,50,4,0.15
93,51,1,0.99
94,51,4,0.37
95,52,1,0.99
96,52,1,0.99
97,52,1,0.99
98,52,4,0.52
99,53,4,0.67
100,54,1,0.99
101,54,1,0.99
102,54,1,0.99
103,54,1,0.99
104,54,4,0.52
105,55,1,0.99
106,55,4,0.60
107,56,1,0.99
108,56,4,0.15
109,57,1,0.99
110,57,4,0.60
111,58,1,0.99
112,58,1,0.99
113,58,4,0.52
114,59,1,0.99
115,59,4,0.30
116,60,1,0.99
117,60,1,0.99
118,60,4,0.75
119,61,1,0.99
120,61,1,0.99
121,61,4,0.75
122,62,4,0.37
123,63,1,0.99
124,63,4,0.60
125,64,1,0.99
126,64,4,0.52
127,65,1,0.99
128,65,1,0.99
129,65,4,0.52
130,66,1,0.99
131,66,4,0.45
132,67,1,0.99
133,67,1,0.99
134,67,4,0.75
135,68,1,0.99
136,68,4,0.15
137,69,1,0.99
138,69,4,0.45
139,70,1,0.99
140,70,1,0.99
141,70,4,0.82
142,71,4,0.15
143,72,4,0.15
144,73,2,5.99
145,73,4,0.37
146,74,4,0.07
147,75,4,0.07
148,76,1,0.99
149,76,2,5.99
150,76,4,0.78
151,77,4,0.45
152,78,4,0.67
153,79,1,0.99
154,79,1,0.99
155,79,4,0.62
156,80,1,0.99
157,80,1,0.99
158,80,4,0.67
159,81,1,0.99
160,81,1,0.99
161,81,4,0.67
162,82,4,0.15
163,83,4,0.15
164,84,1,0.99
165,84,4,0.30
166,85,1,0.99
167,85,1,0.99
168,85,4,0.67
169,86,2,5.99
170,86,1,0.99
171,86,4,0.37
172,87,4,0.07
173,88,1,0.99
174,88,4,0.37
175,89,4,0.60
176,90,2,5.99
177,90,1,0.99
178,90,4,0.67
179,91,4,0.30
180,92,1,0.99
181,92,4,0.15
182,93,1,0.99
183,93,4,0.30
184,94,4,0.15
185,95,4,0.07
186,96,1,0.99
187,96,4,0.30
188,97,4,0.30
189,98,4,0.37
190,99,1,0.99
191,99,4,0.45
192,100,1,0.99
193,100,1,0.99
194,100,4,0.60
195,101,4,0.11
196,102,4,0.22
197,103,1,0.99
198,103,4,0.22
199,104,1,0.99
200,104,1,0.99
201,104,4,0.82
202,105,1,0.99
203,105,4,0.15
204,106,1,0.99
205,106,4,0.82
206,107,4,0.30
207,108,4,0.22
208,109,1,0.99
209,109,1,0.99
210,109,4,0.75
211,110,1,0.99
212,110,4,0.37
213,111,1,0.99
214,111,4,0.37
