person_id,name,birthday,description
29522,Ronald Colman,1891-02-09,"British leading man of primarily American films, one of the great stars of the Golden Age. Raised in Ealing, the son of a successful silk merchant, he attended boarding school in Sussex, where he first discovered amateur theatre. He intended to attend Cambridge and become an engineer, but his father's death cost him the financial support necessary. He joined the London Scottish Regionals and at the outbreak of World War I was sent to France. Seriously wounded at the battle of Messines--he was gassed--he was invalided out of service scarcely two months after shipping out for France. Upon his recovery he tried to enter the consular service, but a chance encounter got him a small role in a London play. He dropped other plans and concentrated on the theatre, and was rewarded with a succession of increasingly prominent parts. He made extra money appearing in a few minor films, and in 1920 set out for New York in hopes of finding greater fortune there than in war-depressed England. After two years of impoverishment he was cast in a Broadway hit, ""La Tendresse"". Director Henry King spotted him in the show and cast him as Lillian Gish's leading man in The White Sister (1923). His success in the film led to a contract with Samuel Goldwyn, and his career as a Hollywood leading man was underway. He became a vastly popular star of silent films, in romances as well as adventure films. The coming of sound made his extraordinarily beautiful speaking voice even more important to the film industry. He played sophisticated, thoughtful characters of integrity with enormous aplomb, and swashbuckled expertly when called to do so in films like The Prisoner of Zenda (1937). A decade later he received an Academy Award for his splendid portrayal of a tormented actor in A Double Life (1947). Much of his later career was devoted to ""The Halls of Ivy"", a radio show that later was transferred to television ""The Halls of Ivy"" (1954). He continued to work until nearly the end of his life, which came in 1958 after a brief lung illness. He was survived by his second wife, actress Benita Hume, and their daughter Juliet Benita Colman."
93902,Signe Hasso,1915-08-15,"Signe Hasso was a Swedish-born American actress, writer and composer."
8254,Edmond O'Brien,1915-09-10,"From Wikipedia, the free encyclopedia.<br><br>Edmond O'Brien (September 10, 1915 – May 9, 1985) was an Academy Award-winning American film actor who is perhaps best remembered for his role in D.O.A. (1950). His many memorable films included The Killers, White Heat, The Man Who Shot Liberty Valance and The Wild Bunch.<br><br>He also co-starred with Richard Rust in the NBC legal drama Sam Benedict, which aired during the 1962-1963 television season.<br><br>Description above from the Wikipedia article Edmond O'Brien, licensed under CC-BY-SA, full list of contributors on Wikipedia."
7632,Shelley Winters,1920-08-18,"Shelley Winters (August 18, 1920 – January 14, 2006) was an American actress who appeared in dozens of films, as well as on stage and television; her career spanned over 50 years until her death in 2006. A two-time Academy Award winner, Winters is probably most remembered for her roles in A Place in the Sun, The Big Knife, Lolita, The Night of the Hunter, Alfie, and The Poseidon Adventure.<br><br>Description above from the Wikipedia article Shelley Winters licensed under CC-BY-SA, full list of contributors on Wikipedia."
14518,Ray Collins,1889-12-10,"​From Wikipedia, the free encyclopedia<br><br>Ray Bidwell Collins (December 10, 1889 – July 11, 1965) was an American actor in film, stage, radio, and television. One of Collins' best remembered roles was that of Lt. Arthur Tragg in the long-running series Perry Mason.<br><br>Description above from the Wikipedia article Ray Collins (actor), licensed under CC-BY-SA, full list of contributors on Wikipedia."
125807,Philip Loeb,1892-03-28,
13297,Millard Mitchell,1903-08-14,"From Wikipedia, the free encyclopedia.<br><br>Millard Mitchell (August 14, 1903 – October 13, 1953) was an American character actor whose credits include roughly thirty feature films and two television appearances.<br><br>Born in Havana, Cuba, Mitchell appeared as a bit player in eight films between 1931 and 1936. He returned to film work in 1942 after a six-year absence. Between 1942 and 1953, Mitchell was a successful supporting actor.<br><br>For his performance in the 1952 film, My Six Convicts, Millard Mitchell won the Golden Globe Award for Best Supporting Actor. Mitchell is also known for his role as Col. Rufus Plummer in Billy Wilder's A Foreign Affair (1948), as Gregory Peck's commanding officer in the war drama Twelve O'Clock High (1949), and as movie mogul ""R. F. Simpson"" in the musical comedy Singin' in the Rain (1952).<br><br>Mitchell died at the age of fifty from lung cancer in Santa Monica, California and was interred in the Holy Cross Cemetery in Culver City, California.<br><br>Description above from the Wikipedia article Millard Mitchell, licensed under CC-BY-SA, full list of contributors on Wikipedia."
3341,Joe Sawyer,1906-08-29,"Joe Sawyer's familiar mug appeared everywhere during the 1930s and 1940s, particularly as a stock player for Warner Bros. in its more standard college musicals, comedies and crime yarns. He could play both sides of the fence, street cops and mob gunmen, with equal ease. He was born Joseph Sauers in Guelph, Canada, on August 29, 1906, and eventually moved to California to pursue a film career. Trained at the Pasadena Playhouse, he had a perfect ""tough guy"" look: sturdy build, jutting chin and beady eyes, made more distinctive by his shock of light hair and a slightly high-pitched voice. Sawyer made his film debut in 1931 under his real name, which, contrary to popular opinion, was German and not Irish, though he made a career out of playing Irishmen, and appeared mostly in strongarm bit parts in his early career until hitting his stride playing a variety of coaches, cops and sidekicks with imposing names like ""Spud,"" ""Slug"" and ""Whitey."" He appeared in hundreds of films, in just about every genre, over a four-decade-long career, among them College Humor (1933), College Rhythm (1934), The Westerner (1934), The Informer (1935), in which his portrayal of an IRA gunman got him noticed by the public and critics alike, Pride of the Marines (1936), Black Legion (1937), The Petrified Forest (1936) (another ""tough-guy"" role that got him good reviews), The Grapes of Wrath (1940), They Died with Their Boots On (1941), Sergeant York (1941), Tarzan's Desert Mystery (1943), Gilda (1946), It Came from Outer Space (1953), North to Alaska (1960) and How the West Was Won (1962). He also guest-starred on many TV series and was a regular on ""The Adventures of Rin Tin Tin"" (1954) as Sgt. Aloysius ""Biff"" O'Hara. His first wife was actress Jeane Wood, the daughter of Gone with the Wind (1939) uncredited director Sam Wood. His second wife, June, died in 1960. Sawyer died in Ashland, Oregon, on April 21, 1982 of liver cancer at the age of 75."
14674,George Cukor,1899-07-07,"From Wikipedia, the free encyclopedia<br><br>George Dewey Cukor  was an American film director. He mainly concentrated on comedies and literary adaptations. His career flourished at RKO and later MGM, where he directed What Price Hollywood? (1932), A Bill of Divorcement (1932), Dinner at Eight (1933), Little Women (1933), David Copperfield (1935), Romeo and Juliet (1936) and Camille (1936).<br><br>He was replaced as the director of Gone with the Wind (1939), but he went on to direct The Philadelphia Story (1940), Adam's Rib (1949), Born Yesterday (1950), A Star Is Born (1954) and My Fair Lady (1964). He continued to work into the 1980s.<br><br> <br><br>Description above from the Wikipedia article George Cukor, licensed under CC-BY-SA, full list of contributors on Wikipedia."
88867,Norma Shearer,1902-08-10,"From Wikipedia, the free encyclopedia.<br><br>Edith Norma Shearer (August 10, 1902 – June 12, 1983) was a Canadian-American actress. Shearer was one of the most popular actresses in North America from the mid-1920s through the 1930s. Her early films cast her as the girl-next-door but for most of the Pre-Code film era beginning with the 1930 film The Divorcee, for which she won an Oscar for Best Actress, she played sexually liberated women in sophisticated contemporary comedies. Later she appeared in historical and period films.<br><br>Unlike many of her MGM contemporaries, Shearer's fame declined steeply after retirement. By the time of her death in 1983, she was largely remembered at best for her ""noble"" roles in The Women, Marie Antoinette, and Romeo and Juliet. Shearer's legacy began to be re-evaluated in the 1990s with the publication of two biographies and the TCM and VHS release of her films, many of them unseen since the implementation of the Production Code some sixty years before. Focus shifted to her pre-Code ""divorcee"" persona, and Shearer was rediscovered as ""the exemplar of sophisticated [1930's] woman-hood... exploring love and sex with an honesty that would be considered frank by modern standards"".<br><br>Simultaneously, Shearer's ten-year collaboration with portrait photographer George Hurrell and her lasting contribution to fashion through the designs of Adrian were also recognized.<br><br>Shearer is widely celebrated by some as one of cinema's feminist pioneers: ""the first American film actress to make it chic and acceptable to be single and not a virgin on screen"". In March 2008, two of her most famous pre-code films, The Divorcee and A Free Soul, were released on DVD.<br><br>Description above from the Wikipedia article Norma Shearer, licensed under CC-BY-SA, full list of contributors on Wikipedia."
