movie_id,title,running_length,release_date,description
41206,A Double Life,104,1947-12-25,A Shakespearian actor starring as Othello opposite his wife finds the character's jealous rage taking over his mind off-stage.
50600,A Free Soul,93,1931-06-02,An alcoholic lawyer who successfully defended a notorious gambler on a murder charge objects when his free-spirited daughter becomes romantically involved with him.
874,A Man for All Seasons,120,1966-12-12,A Man for All Seasons is the filmed version of the life of Thomas More. An English man comes to Sir Thomas More to ask if he can divorce his wife since King Henry VIII has made it illegal. Sir Thomas More stands up in opposition to the King even though he knows he’s risking his own life. An award winning film from 1966.
25430,All the King's Men,109,1949-11-08,All The King's Men is the story of the rise of politician Willie Stark from a rural county seat to the governor's mansion.
279,Amadeus,160,1984-10-26,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum."
14,American Beauty,122,1999-09-15,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend."
2898,As Good as It Gets,139,1997-12-19,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast."
665,Ben-Hur,212,1959-12-26,"Ben-Hur is a 1959 epic film directed by William Wyler, the third film version of Civil War vet Lew Wallace's 1880 novel Ben-Hur: A Tale of the Christ. It premiered at Loew's State Theatre in New York City on November 18, 1959. The movie's reputation as a classic is primarily based on two spectacular action sequences:  the great chariot race and a Roman naval battle, along with lavish production values and strong performances.  The plot of Ben Hur revolves around a Jewish prince who is betrayed and sent into slavery by a Roman friend and how he regains his freedom and comes back for revenge. However, instead he finds redemption in Christ, the theme is ultimately about being saved in the Christian sense.  The film went on to win a record of eleven Academy Awards, including Best Picture and Best Actor (Charlton Heston as Ben Hur). This record-setting Oscars sweep has since been equaled by Titanic in 1998 and The Lord of the Rings: The Return of the King in 2004, but never broken."
42390,Boys Town,96,1938-09-09,"Against all odds Father Flanagan starts ""Boys' Town"" after hearing a convict's story. Whitey Marsh comes there. He runs away but, hungry, returns. He runs away again but, when friend Pee Wee is hit by a car, returns. He runs away and joins his brother's gang. Flanagan and the boys capture the crooks and the reward saves the town."
398,Capote,114,2005-09-30,"A biopic of the writer, Truman Capote and his assignment for The New Yorker to write the non-fiction book, 'In Cold Blood'."
16515,Captains Courageous,115,1937-06-25,"Harvey, the arrogant and spoiled son of an indulgent absentee-father, falls overboard from a transatlantic steamship and is rescued by a fishing vessel on the Grand Banks. Harvey fails to persuade them to take him ashore, nor convince the crew of his wealth. The captain offers him a low-paid job, until they return to port, as part of the crew that turns him into a mature, considerate young man."
11694,Cat Ballou,97,1965-06-24,"A woman seeking revenge for her murdered father hires a famous gunman, but he's very different from what she expects."
29146,Charly,103,1968-09-23,An experiment on a simpleton turns him into a genius. When he discovers what has been done to him he struggles with whether or not what was done to his was right.
31657,Coming Home,127,1978-02-15,"The wife of a Marine serving in Vietnam, Sally Hyde (Jane Fonda) decides to volunteer at a local veterans hospital to occupy her time. There she meets Luke Martin (Jon Voight), a frustrated wheelchair-bound vet who has become disillusioned with the war. Sally and Luke develop a friendship that soon turns into a romance, but when her husband, Bob (Bruce Dern), returns unexpectedly, she must decide between staying with him and pursuing her new love."
25196,Crazy Heart,112,2009-12-16,"When reporter Jean Craddock interviews Bad Blake -- an alcoholic, seen-better-days country music legend -- they connect, and the hard-living crooner sees a possible saving grace in a life with Jean and her young son. But can he leave behind an existence playing in the shadow of Tommy, the upstart kid he once mentored?"
43386,Cyrano de Bergerac,112,1950-11-14,"José Ferrer won the Oscar for Best Actor for his portayal of the swordsman-poet using his silver tongue to woo the woman he loves for another man.  Cyrano de Bergerac is a play written in 1897 by Edmond Rostand. Although there was a real Cyrano de Bergerac, the play is a fictionalization of his life that follows the broad outlines of it. The entire play is written in verse, in rhyming couplets of twelve syllables per line, very close to the Alexandrine format, but the verses sometimes lack a caesura. It is also meticulously researched, down to the names of the members of the Académie française and the dames précieuses glimpsed before the performance in the first scene. The play has been translated and performed many times, and is responsible for introducing the word ""panache"" into the English language."
152532,Dallas Buyers Club,117,2013-09-07,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live."
84274,Disraeli,90,1929-11-01,"Biopic of the famed British Prime Minister focusing on his concern about Russia's growing interest in the Indian subcontinent and his attempts to buy the Suez Canal. He sees the Canal as the key strategic resource in maintaining the Empire in the East but is unpopular in many quarters. With antisemitism rife at the time, Disraeli finds little support for his plan to purchase the canal or his foreign policy in general. There is no doubt that the Russians are plotting against British interests and he is surrounded by spies, even in his office at 10 Downing St. When the Bank of England refuses to finance the purchase of the available shares he turns to private sources to raise the available cash only to find the conspirators one step ahead of him."
3019,Dr. Jekyll and Mr. Hyde,98,1931-12-31,"Based on the story by Robert Louis Stevenson, Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug it is already too late..."
22013,Elmer Gantry,146,1960-06-19,An ex-football player becomes a popular evangelist in the 1920s Midwest.
13,Forrest Gump,142,1994-07-06,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability."
783,Gandhi,191,1982-11-30,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed."
98,Gladiator,155,2000-05-01,"General Maximus' success in battle earns the favour of the Roman Empire's elderly Emperor at the expense of the Emperor's son. In a fit of jealous rage the son slays his father before turning his anger towards Maximus. Now reduced to a slave, and his family dead, Maximus must fight as a gladiator to gain his freedom – and his revenge."
17661,Going My Way,130,1944-05-15,"Youthful Father Chuck O'Malley (Bing Crosby) led a colourful life of sports, song, and romance before joining the Roman Catholic clergy. After being appointed to a run-down New York parish , O'Malley's worldly knowledge helps him connect with a gang of boys looking for direction, eventually winning over the aging, conventional Parish priest (Barry Fitzgerald)."
42852,"Goodbye, Mr. Chips",114,1939-07-28,"A shy British teacher looks back nostalgically at his long career, taking note of the people touched his life."
23383,Hamlet,155,1948-03-25,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists."
42448,Harry and Tonto,115,1974-08-12,"Harry is a retired teacher in his 70s living in the Upper West Side of New York City where his late wife and he raised his children--where he's lived all his life. When the building he lives in is torn down to make way for a parking garage, Harry and his beloved cat Tonto begin a journey across the United States, visiting his children, seeing a world he never seemed to have the time to see before, making new friends, and saying goodbye to old friends."
288,High Noon,85,1952-03-27,High Noon is about a recently freed leader of a gang of bandits in the desert who is looking to get revenge on the Sheriff who put him in jail. A legendary western film from the Austrian director Fred Zinnemann.
83989,In Old Arizona,95,1928-12-25,"Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all."
10633,In the Heat of the Night,109,1967-08-02,An African American detective is asked to investigate a murder in a racist southern town.
3078,It Happened One Night,105,1934-02-22,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what he wants... a really juicy newspaper story!"
821,Judgment at Nuremberg,186,1961-12-01,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner."
